Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1989,6.6,6.66,7.46,6.87,7.11,8.31,9.01,9.36,9.18,7.98,7.58,6.77
1990,6.77,7.18,6.91,7.08,7.64,8.13,9.02,9.61,9.01,8.38,7.41,7.35
1991,6.96,6.97,6.82,6.91,7.53,8.91,9.53,9.79,8.9,8.03,7.44,7.14
1992,7.1,6.83,6.89,6.79,7.4,8.7,9.7,10.28,9.92,8.62,8.68,7.74
1993,7.57,7.2,7.14,7.71,9.17,9.83,10.95,11.43,10.88,9.33,8.38,8.43
1994,7.69,7.99,8.33,8.87,9.2,10.64,11.64,12.0,11.42,9.7,9.36,8.64
1995,8.1,7.66,7.66,7.88,8.7,10.2,11.64,12.0,11.81,11.09,8.7,7.77
1996,8.01,8.22,8.12,8.39,8.8,10.03,11.08,,,,,
1997,9.88,9.55,8.86,8.51,9.01,10.83,12.7,11.62,12.59,11.38,9.93,9.34
1998,9.17,9.09,8.9,9.56,10.73,11.99,7.08,13.24,12.66,11.62,9.5,9.3
1999,8.21,8.49,8.05,8.74,10.1,11.79,12.65,12.01,11.93,10.29,9.66,9.01
2000,7.97,8.49,9.55,9.82,11.66,13.3,14.81,14.68,15.05,12.15,10.16,9.02
2001,12.47,11.24,10.53,11.43,13.5,13.84,14.25,14.41,13.14,11.57,11.16,10.89
2002,9.35,8.65,9.17,9.34,9.96,11.66,13.04,13.18,13.21,11.84,10.08,9.48
2003,9.63,9.88,11.69,12.22,12.93,14.71,16.01,16.17,15.58,13.01,12.02,11.36
2004,11.41,11.33,11.48,11.51,13.07,15.34,16.29,16.89,16.22,14.41,13.44,13.19
2005,12.8,12.65,12.42,13.45,14.49,16.16,17.62,18.48,20.78,22.24,20.21,17.44
2006,16.61,15.11,13.99,14.58,16.09,16.69,18.04,18.91,18.43,13.37,14.75,14.97
2007,15.24,14.43,15.08,15.47,17.33,19.59,19.95,18.94,18.53,18.64,16.04,14.83
2008,14.99,14.91,15.21,16.76,19.95,22.88,24.96,24.2,21.66,18.42,16.48,16.26
2009,15.46,14.84,14.63,14.19,15.13,16.82,18.24,17.81,17.74,14.71,14.97,14.02
2010,12.97,13.01,13.6,15.08,15.82,18.42,20.0,20.17,18.54,16.47,13.88,12.09
2011,12.05,12.27,12.73,13.6,15.88,19.74,19.77,19.78,19.75,16.56,13.93,12.65
2012,11.67,11.69,12.99,13.06,15.13,18.0,17.4,18.78,18.16,15.26,11.35,11.97
2013,11.27,10.8,11.41,12.65,15.73,18.16,19.25,18.99,18.42,16.12,12.27,10.5
2014,11.18,11.32,11.78,12.49,14.55,17.99,18.99,18.88,17.86,15.99,12.27,10.66
2015,10.51,9.79,9.34,10.19,12.68,16.26,17.09,17.3,17.5,14.24,12.26,11.43
2016,10.3,9.45,9.64,9.88,10.99,14.69,16.64,17.86,17.34,14.87,10.95,9.6
2017,9.86,11.04,10.81,11.09,14.45,16.28,19.14,19.06,18.12,17.17,13.07,10.52
2018,9.51,11.23,12.09,11.29,14.19,19.32,20.1,20.83,20.14,17.15,12.18,11.64
2019,12.28,11.44,10.86,12.09,13.99,17.06,19.86,20.14,19.97,16.89,12.45,10.75
2020,11.37,11.62,11.93,12.07,11.56,16.03,19.34,19.82,19.24,16.08,13.67,12.15
2021,11.14,10.8,11.46,13.85,15.04,17.64,21.13,22.85,22.24,22.64,17.19,14.56
2022,13.82,13.07,14.13,14.82,17.58,24.55,26.17,26.13,28.19,21.9,19.26,16.73
2023,17.2,16.57,16.04,15.81,16.7,19.7,21.74,22.69,20.97,19.97,16.28,14.69
