Year,Month,New York Monthly Electricity Generation
2001,01,12622.0
2001,02,11460.0
2001,03,12115.0
2001,04,10734.0
2001,05,11132.0
2001,06,13038.0
2001,07,13128.0
2001,08,14720.0
2001,09,11583.0
2001,10,11420.0
2001,11,10518.0
2001,12,11447.0
2002,01,11538.0
2002,02,10199.0
2002,03,10715.0
2002,04,10114.0
2002,05,11131.0
2002,06,12339.0
2002,07,14116.0
2002,08,14179.0
2002,09,12147.0
2002,10,11030.0
2002,11,10420.0
2002,12,11664.0
2003,01,12117.0
2003,02,10944.0
2003,03,11245.0
2003,04,10151.0
2003,05,10269.0
2003,06,11384.0
2003,07,13222.0
2003,08,13437.0
2003,09,11328.0
2003,10,10850.0
2003,11,10662.0
2003,12,12034.0
2004,01,12969.0
2004,02,11217.0
2004,03,11132.0
2004,04,10094.0
2004,05,11598.0
2004,06,12047.0
2004,07,12891.0
2004,08,12552.0
2004,09,11483.0
2004,10,9911.0
2004,11,10261.0
2004,12,11809.0
2005,01,12644.0
2005,02,10769.0
2005,03,11555.0
2005,04,10513.0
2005,05,10358.0
2005,06,13235.0
2005,07,14735.0
2005,08,15331.0
2005,09,13031.0
2005,10,11364.0
2005,11,10829.0
2005,12,12524.0
2006,01,11600.0
2006,02,10813.0
2006,03,11511.0
2006,04,10046.0
2006,05,10981.0
2006,06,12462.0
2006,07,15400.0
2006,08,14588.0
2006,09,11501.0
2006,10,11167.0
2006,11,10943.0
2006,12,11253.0
2007,01,12699.0
2007,02,12336.0
2007,03,12105.0
2007,04,10946.0
2007,05,11669.0
2007,06,12545.0
2007,07,13460.0
2007,08,14407.0
2007,09,12174.0
2007,10,11330.0
2007,11,10256.0
2007,12,11951.0
2008,01,11962.0
2008,02,10741.0
2008,03,11389.0
2008,04,9515.0
2008,05,10756.0
2008,06,12658.0
2008,07,14220.0
2008,08,12665.0
2008,09,11565.0
2008,10,11272.0
2008,11,11407.0
2008,12,12172.0
2009,01,12518.0
2009,02,10571.0
2009,03,11004.0
2009,04,10265.0
2009,05,10697.0
2009,06,10605.0
2009,07,11913.0
2009,08,12982.0
2009,09,10509.0
2009,10,10312.0
2009,11,10270.0
2009,12,11504.0
2010,01,11155.0
2010,02,10319.0
2010,03,10245.0
2010,04,9105.0
2010,05,10725.0
2010,06,12238.0
2010,07,14577.0
2010,08,13571.0
2010,09,11770.0
2010,10,10655.0
2010,11,10678.0
2010,12,11925.0
2011,01,11333.0
2011,02,10119.0
2011,03,10860.0
2011,04,9971
2011,05,10474.0
2011,06,12078
2011,07,14531.0
2011,08,12962.0
2011,09,11611
2011,10,11374
2011,11,10836.0
2011,12,11331
2012,01,11476.0
2012,02,10750.0
2012,03,10232.0
2012,04,9844.0
2012,05,10835.0
2012,06,11794.0
2012,07,14406.0
2012,08,13421.0
2012,09,10806.0
2012,10,10587.0
2012,11,10405.0
2012,12,11211.0
2013,01,11863.0
2013,02,10842.0
2013,03,10921.0
2013,04,10032.0
2013,05,10927.0
2013,06,11431.0
2013,07,14312.0
2013,08,12085.0
2013,09,10560.0
2013,10,10443.0
2013,11,10927.0
2013,12,11774.0
2014,01,12560.0
2014,02,11270.0
2014,03,11273.0
2014,04,9716.0
2014,05,10504.0
2014,06,11818.0
2014,07,12996.0
2014,08,12019.0
2014,09,11131.0
2014,10,11034.0
2014,11,11171.0
2014,12,11586.0
2015,01,11755.0
2015,02,11208.0
2015,03,11090.0
2015,04,9948.0
2015,05,11211.0
2015,06,11447.0
2015,07,13384.0
2015,08,13385.0
2015,09,12077.0
2015,10,11563.0
2015,11,10771.0
2015,12,10744.0
2016,01,11232.0
2016,02,10548.0
2016,03,10306.0
2016,04,9508.0
2016,05,10707.0
2016,06,11305.0
2016,07,13614.0
2016,08,14264.0
2016,09,11608.0
2016,10,10466.0
2016,11,9921.0
2016,12,10899.0
2017,01,10484.0
2017,02,9283.0
2017,03,10343.0
2017,04,9060.0
2017,05,9905.0
2017,06,11159.0
2017,07,12736.0
2017,08,12102.0
2017,09,11085.0
2017,10,10537.0
2017,11,10132.0
2017,12,11199.0
2018,01,11982.0
2018,02,9149.0
2018,03,10128.0
2018,04,9267.0
2018,05,10342.0
2018,06,11116.0
2018,07,13353.0
2018,08,13482.0
2018,09,10847.0
2018,10,10975.0
2018,11,10763.0
2018,12,11117.0
2019,01,11616.0
2019,02,10227.0
2019,03,9549.0
2019,04,8967.0
2019,05,9925.0
2019,06,10778.0
2019,07,13925.0
2019,08,12890.0
2019,09,11069.0
2019,10,10523.0
2019,11,10604.0
2019,12,11529.0
2020,01,11239.0
2020,02,10338.0
2020,03,10167.0
2020,04,9013.0
2020,05,9073
2020,06,11075.0
2020,07,13882.0
2020,08,12812.0
2020,09,10726.0
2020,10,10078
2020,11,10322
2020,12,10707.0
2021,01,10936
2021,02,9514
2021,03,10068.0
2021,04,8862
2021,05,9475
2021,06,11257.0
2021,07,11858
2021,08,12554
2021,09,10045
2021,10,9723.0
2021,11,10023
2021,12,10458
2022,01,11000
2022,02,9369.0
2022,03,9203
2022,04,9489
2022,05,10467.0
2022,06,10704
2022,07,12972.0
2022,08,12615
2022,09,9275
2022,10,9467.0
2022,11,9943.0
2022,12,10682
2023,01,10167.0
2023,02,9401.0
2023,03,9354.0
2023,04,8409
2023,05,9728
2023,06,10669.0
2023,07,13468.0
2023,08,11772.0
2023,09,10434.0
2023,10,9964.0
2023,11,10733.0
2023,12,10617
2024,01,11248
