Year,Month,Lockdown
2001,1,No
2001,2,No
2001,3,No
2001,4,No
2001,5,No
2001,6,No
2001,7,No
2001,8,No
2001,9,No
2001,10,No
2001,11,No
2001,12,No
2002,1,No
2002,2,No
2002,3,No
2002,4,No
2002,5,No
2002,6,No
2002,7,No
2002,8,No
2002,9,No
2002,10,No
2002,11,No
2002,12,No
2003,1,No
2003,2,No
2003,3,No
2003,4,No
2003,5,No
2003,6,No
2003,7,No
2003,8,No
2003,9,No
2003,10,No
2003,11,No
2003,12,No
2004,1,No
2004,2,No
2004,3,No
2004,4,No
2004,5,No
2004,6,No
2004,7,No
2004,8,No
2004,9,No
2004,10,No
2004,11,No
2004,12,No
2005,1,No
2005,2,No
2005,3,No
2005,4,No
2005,5,No
2005,6,No
2005,7,No
2005,8,No
2005,9,No
2005,10,No
2005,11,No
2005,12,No
2006,1,No
2006,2,No
2006,3,No
2006,4,No
2006,5,No
2006,6,No
2006,7,No
2006,8,No
2006,9,No
2006,10,No
2006,11,No
2006,12,No
2007,1,No
2007,2,No
2007,3,No
2007,4,No
2007,5,No
2007,6,No
2007,7,No
2007,8,No
2007,9,No
2007,10,No
2007,11,No
2007,12,No
2008,1,No
2008,2,No
2008,3,No
2008,4,No
2008,5,No
2008,6,No
2008,7,No
2008,8,No
2008,9,No
2008,10,No
2008,11,No
2008,12,No
2009,1,No
2009,2,No
2009,3,No
2009,4,No
2009,5,No
2009,6,No
2009,7,No
2009,8,No
2009,9,No
2009,10,No
2009,11,No
2009,12,No
2010,1,No
2010,2,No
2010,3,No
2010,4,No
2010,5,No
2010,6,No
2010,7,No
2010,8,No
2010,9,No
2010,10,No
2010,11,No
2010,12,No
2011,1,No
2011,2,No
2011,3,No
2011,4,No
2011,5,No
2011,6,No
2011,7,No
2011,8,No
2011,9,No
2011,10,No
2011,11,No
2011,12,No
2012,1,No
2012,2,No
2012,3,No
2012,4,No
2012,5,No
2012,6,No
2012,7,No
2012,8,No
2012,9,No
2012,10,No
2012,11,No
2012,12,No
2013,1,No
2013,2,No
2013,3,No
2013,4,No
2013,5,No
2013,6,No
2013,7,No
2013,8,No
2013,9,No
2013,10,No
2013,11,No
2013,12,No
2014,1,No
2014,2,No
2014,3,No
2014,4,No
2014,5,No
2014,6,No
2014,7,No
2014,8,No
2014,9,No
2014,10,No
2014,11,No
2014,12,No
2015,1,No
2015,2,No
2015,3,No
2015,4,No
2015,5,No
2015,6,No
2015,7,No
2015,8,No
2015,9,No
2015,10,No
2015,11,No
2015,12,No
2016,1,No
2016,2,No
2016,3,No
2016,4,No
2016,5,No
2016,6,No
2016,7,No
2016,8,No
2016,9,No
2016,10,No
2016,11,No
2016,12,No
2017,1,No
2017,2,No
2017,3,No
2017,4,No
2017,5,No
2017,6,No
2017,7,No
2017,8,No
2017,9,No
2017,10,No
2017,11,No
2017,12,No
2018,1,No
2018,2,No
2018,3,No
2018,4,No
2018,5,No
2018,6,No
2018,7,No
2018,8,No
2018,9,No
2018,10,No
2018,11,No
2018,12,No
2019,1,No
2019,2,No
2019,3,No
2019,4,No
2019,5,No
2019,6,No
2019,7,No
2019,8,No
2019,9,No
2019,10,No
2019,11,No
2019,12,No
2020,1,No
2020,2,No
2020,3,Yes
2020,4,Yes
2020,5,Yes
2020,6,Yes
2020,7,Yes
2020,8,Yes
2020,9,Yes
2020,10,Yes
2020,11,Yes
2020,12,Yes
2021,1,Yes
2021,2,Yes
2021,3,Yes
2021,4,Yes
2021,5,Yes
2021,6,Yes
2021,7,Yes
2021,8,Yes
2021,9,Yes
2021,10,Yes
2021,11,Yes
2021,12,Yes
2022,1,Yes
2022,2,Yes
2022,3,Yes
2022,4,Yes
2022,5,Yes
2022,6,Yes
2022,7,Yes
2022,8,Yes
2022,9,Yes
2022,10,Yes
2022,11,Yes
2022,12,Yes
2023,1,Yes
2023,2,Yes
2023,3,Yes
2023,4,Yes
2023,5,Yes
2023,6,Yes
2023,7,Yes
2023,8,Yes
2023,9,No
2023,10,No
2023,11,No
2023,12,No
2024,1,No
2024,2,No
2024,3,No
2024,4,No
2024,5,No
2024,6,No
2024,7,No
2024,8,No
2024,9,No
2024,10,No
2024,11,No
2024,12,No
