Year,Month,Natural_gas_price
2001,1,12.47
2001,2,11.24
2001,3,10.53
2001,4,11.43
2001,5,13.5
2001,6,13.84
2001,7,14.25
2001,8,14.41
2001,9,13.14
2001,10,11.57
2001,11,11.16
2001,12,10.89
2002,1,9.35
2002,2,8.65
2002,3,9.17
2002,4,9.34
2002,5,9.96
2002,6,11.66
2002,7,13.04
2002,8,13.18
2002,9,13.21
2002,10,11.84
2002,11,10.08
2002,12,9.48
2003,1,9.63
2003,2,9.88
2003,3,11.69
2003,4,12.22
2003,5,12.93
2003,6,14.71
2003,7,16.01
2003,8,16.17
2003,9,15.58
2003,10,13.01
2003,11,12.02
2003,12,11.36
2004,1,11.41
2004,2,11.33
2004,3,11.48
2004,4,11.51
2004,5,13.07
2004,6,15.34
2004,7,16.29
2004,8,16.89
2004,9,16.22
2004,10,14.41
2004,11,13.44
2004,12,13.19
2005,1,12.8
2005,2,12.65
2005,3,12.42
2005,4,13.45
2005,5,14.49
2005,6,16.16
2005,7,17.62
2005,8,18.48
2005,9,20.78
2005,10,22.24
2005,11,20.21
2005,12,17.44
2006,1,16.61
2006,2,15.11
2006,3,13.99
2006,4,14.58
2006,5,16.09
2006,6,16.69
2006,7,18.04
2006,8,18.91
2006,9,18.43
2006,10,13.37
2006,11,14.75
2006,12,14.97
2007,1,15.24
2007,2,14.43
2007,3,15.08
2007,4,15.47
2007,5,17.33
2007,6,19.59
2007,7,19.95
2007,8,18.94
2007,9,18.53
2007,10,18.64
2007,11,16.04
2007,12,14.83
2008,1,14.99
2008,2,14.91
2008,3,15.21
2008,4,16.76
2008,5,19.95
2008,6,22.88
2008,7,24.96
2008,8,24.2
2008,9,21.66
2008,10,18.42
2008,11,16.48
2008,12,16.26
2009,1,15.46
2009,2,14.84
2009,3,14.63
2009,4,14.19
2009,5,15.13
2009,6,16.82
2009,7,18.24
2009,8,17.81
2009,9,17.74
2009,10,14.71
2009,11,14.97
2009,12,14.02
2010,1,12.97
2010,2,13.01
2010,3,13.6
2010,4,15.08
2010,5,15.82
2010,6,18.42
2010,7,20
2010,8,20.17
2010,9,18.54
2010,10,16.47
2010,11,13.88
2010,12,12.09
2011,1,12.05
2011,2,12.27
2011,3,12.73
2011,4,13.6
2011,5,15.88
2011,6,19.74
2011,7,19.77
2011,8,19.78
2011,9,19.75
2011,10,16.56
2011,11,13.93
2011,12,12.65
2012,1,11.67
2012,2,11.69
2012,3,12.99
2012,4,13.06
2012,5,15.13
2012,6,18
2012,7,17.4
2012,8,18.78
2012,9,18.16
2012,10,15.26
2012,11,11.35
2012,12,11.97
2013,1,11.27
2013,2,10.8
2013,3,11.41
2013,4,12.65
2013,5,15.73
2013,6,18.16
2013,7,19.25
2013,8,18.99
2013,9,18.42
2013,10,16.12
2013,11,12.27
2013,12,10.5
2014,1,11.18
2014,2,11.32
2014,3,11.78
2014,4,12.49
2014,5,14.55
2014,6,17.99
2014,7,18.99
2014,8,18.88
2014,9,17.86
2014,10,15.99
2014,11,12.27
2014,12,10.66
2015,1,10.51
2015,2,9.79
2015,3,9.34
2015,4,10.19
2015,5,12.68
2015,6,16.26
2015,7,17.09
2015,8,17.3
2015,9,17.5
2015,10,14.24
2015,11,12.26
2015,12,11.43
2016,1,10.3
2016,2,9.45
2016,3,9.64
2016,4,9.88
2016,5,10.99
2016,6,14.69
2016,7,16.64
2016,8,17.86
2016,9,17.34
2016,10,14.87
2016,11,10.95
2016,12,9.6
2017,1,9.86
2017,2,11.04
2017,3,10.81
2017,4,11.09
2017,5,14.45
2017,6,16.28
2017,7,19.14
2017,8,19.06
2017,9,18.12
2017,10,17.17
2017,11,13.07
2017,12,10.52
2018,1,9.51
2018,2,11.23
2018,3,12.09
2018,4,11.29
2018,5,14.19
2018,6,19.32
2018,7,20.1
2018,8,20.83
2018,9,20.14
2018,10,17.15
2018,11,12.18
2018,12,11.64
2019,1,12.28
2019,2,11.44
2019,3,10.86
2019,4,12.09
2019,5,13.99
2019,6,17.06
2019,7,19.86
2019,8,20.14
2019,9,19.97
2019,10,16.89
2019,11,12.45
2019,12,10.75
2020,1,11.37
2020,2,11.62
2020,3,11.93
2020,4,12.07
2020,5,11.56
2020,6,16.03
2020,7,19.34
2020,8,19.82
2020,9,19.24
2020,10,16.08
2020,11,13.67
2020,12,12.15
2021,1,11.14
2021,2,10.8
2021,3,11.46
2021,4,13.85
2021,5,15.04
2021,6,17.64
2021,7,21.13
2021,8,22.85
2021,9,22.24
2021,10,22.64
2021,11,17.19
2021,12,14.56
2022,1,13.82
2022,2,13.07
2022,3,14.13
2022,4,14.82
2022,5,17.58
2022,6,24.55
2022,7,26.17
2022,8,26.13
2022,9,28.19
2022,10,21.9
2022,11,19.26
2022,12,16.73
2023,1,17.2
2023,2,16.57
2023,3,16.04
2023,4,15.81
2023,5,16.7
2023,6,19.7
2023,7,21.74
2023,8,22.69
2023,9,20.97
2023,10,19.97
2023,11,16.28
2023,12,14.69
2024,1,14.785
